sc_point_gid,class,capacity,capital_adder_per_mw,cf
178331,7,396.93,1178536.75,0.3033
178332,7,243.39,1489183.78,0.3055
178333,7,530.84,997968.89,0.307
178334,7,530.84,1001478.69,0.3094
178335,7,530.84,1015900.85,0.311
178336,7,530.84,1021083.67,0.3124
178337,7,530.84,1037832.79,0.3129
178338,7,530.84,1064256.57,0.313
178339,7,530.84,1091371.12,0.313
178340,7,530.84,1117257.75,0.3127
178341,7,530.84,1141345.95,0.3121
178342,7,530.84,1165524.48,0.312
178343,7,530.84,1190621.98,0.312
178344,7,477.15,1343987.15,0.3119
178345,7,524.36,1274443.62,0.3115
178346,7,530.84,1282060.45,0.3116
178347,7,530.84,1298240.2,0.3118
178348,7,530.84,1307134.55,0.3117
178349,7,530.84,1312567.24,0.3113
178350,7,530.84,1320090.81,0.3113
178351,7,530.84,1331862.9,0.311
178352,7,530.84,1344798.05,0.3112
178353,7,530.84,1366046.71,0.3103
178354,7,530.84,1407417.14,0.3098
178355,7,530.84,1477137.33,0.3093
178356,7,257.58,1960742.51,0.309
178938,2,289.82,89141.14,0.3151
178939,2,525.98,19111.66,0.3149
178940,2,393.85,187192.85,0.3141
178941,2,182.22,1067487.84,0.3126
178942,2,202.73,862285.49,0.3122
178943,2,287.52,324764.52,0.3118
178944,2,525.27,164335.08,0.3114
178945,2,510.07,192742.05,0.3107
178946,2,161.35,1332876.38,0.3095
178947,2,441.48,272092.92,0.308
178948,2,522.22,215243.35,0.3073
178949,2,520.08,306619.36,0.3064
178950,7,265.74,-38640.65,0.3054
178951,7,427.0,125294.83,0.3052
