municipality_key,year,pv_mw,storage_mw,storage_mwh
loiza,2040,5.460104112,2.349987606,9.399950422
loiza,2045,8.159194598500001,3.1811684634999997,12.7246738555
loiza,2050,10.355664692,3.854153637,15.41661455
luquillo,2022,0.0,1.018468755,4.073875016000001
luquillo,2025,3.4491902784999997,1.3190309405,5.276123765
luquillo,2028,4.405332319999999,1.476316266,5.905265067
luquillo,2030,4.968704306,1.625045847,6.500183385
luquillo,2035,5.9630401105,2.174866991,8.6994679635
luquillo,2040,7.063946824,3.1133722190000004,12.453488875000001
luquillo,2045,10.555864058000001,4.219626041,16.8785041585
luquillo,2050,13.397521948,5.114305321,20.457221282
manati,2022,14.022100678,2.056852267,8.227409072
manati,2025,14.736624649500001,3.9363497900000004,15.7453991605
manati,2028,16.939178747,4.5698074,18.279229602
manati,2030,18.236953792999998,5.4725479880000005,21.890191948000002
manati,2035,20.5274904475,8.463738056,33.85495222
manati,2040,23.063522214000002,12.733422043000001,50.933688157000006
manati,2045,31.107449032,17.5275207185,70.110082888
manati,2050,37.653448432,21.350431447000002,85.401725791
maricao,2022,0.0,0.0536751355,0.21470040820000003
maricao,2025,0.7041518995,0.2907632275,1.163053348
maricao,2028,0.8993482150000001,0.340811565,1.3632443530000002
maricao,2030,1.014360559,0.41660134,1.6664054689999999
maricao,2035,1.2173541265,0.6643519554999999,2.657408052
maricao,2040,1.442104137,1.00889762,4.035573181
maricao,2045,2.1549787425,1.3926440705,5.5705745790000005
maricao,2050,2.7351029590000002,1.697916621,6.791646760000001
maunabo,2022,0.0,0.270525251,1.082099999
maunabo,2025,1.3783539930000002,0.5290434335,2.11617373
maunabo,2028,1.760437682,0.59350868,2.37403472
maunabo,2030,1.98560137,0.6570228300000001,2.628091323
maunabo,2035,2.3829855425,0.888909406,3.555637624
maunabo,2040,2.822894057,1.2776887829999999,5.11075514
maunabo,2045,4.218352451,1.7339499,6.9357996
maunabo,2050,5.353953512,2.10249276,8.40997104
mayaguez,2022,11.123898444,2.2342046040000003,8.936818415000001
mayaguez,2025,16.120043211000002,4.4458964855000005,17.783585941
mayaguez,2028,20.057964825,5.17244731,20.689789242
mayaguez,2030,22.378242178,6.223073547,24.892294192
mayaguez,2035,26.473466824,9.6927715295,38.771086120999996
mayaguez,2040,31.00760941,14.614476317,58.457905281
mayaguez,2045,45.3892553805,20.130089218500004,80.5203568565
mayaguez,2050,57.092773857000005,24.525821419,98.103285688
moca,2022,0.0,0.904720001,3.6188800000000003
moca,2025,4.421473537500001,1.6956440015,6.7825760074999994
moca,2028,5.647139967,1.901269662,7.605078648999999
moca,2030,6.369319418,2.102063144,8.408252574
moca,2035,7.6439459495,2.8371153045,11.348461217
moca,2040,9.055184391,4.074309316,16.297237269
moca,2045,13.531429069,5.527645875,22.1105835045
moca,2050,17.174114502,6.701891444999999,26.807565777999997
morovis,2022,0.0,1.156990917,4.627963674
morovis,2025,3.554276453,1.3584033954999999,5.4336135819999996
morovis,2028,4.539549189,1.519800763,6.079203052
morovis,2030,5.12008538,1.671339711,6.685358849
morovis,2035,6.1447155250000005,2.232775771,8.9311030835
morovis,2040,7.279163466,3.194076804,12.776307219
morovis,2045,10.877468629500001,4.328049079,17.312196315999998
morovis,2050,13.805703068,5.245338469,20.981353875
naguabo,2022,0.0,1.497667223,5.9906688930000005
naguabo,2025,3.75255805,1.6889125584999998,6.755650237
naguabo,2028,4.792795968,1.862905284,7.451621134
